Source ID,Title,Publisher,Published,Checked,URL,Used for
ENG-STAT-2025,"Fly-tipping statistics for England, 2024 to 2025","Department for Environment, Food and Rural Affairs",25 February 2026,4 August 2026,https://www.gov.uk/government/statistics/fly-tipping-statistics-for-england/fly-tipping-statistics-for-england-2024-to-2025,"England incident totals, waste types, land types, enforcement and data limitations."
ENG-DATASET,Fly-tipping in England: local-authority dataset,"Department for Environment, Food and Rural Affairs / data.gov.uk",Updated 2 March 2026,4 August 2026,https://www.data.gov.uk/dataset/1388104c-3599-4cd2-abb5-ca8ddeeb4c9c/fly-tipping_in_england_,Source directory for downloadable local-authority incident and enforcement data.
WAL-STAT-2025,Local authority recorded fly-tipping: April 2024 to March 2025,Welsh Government,24 February 2026,4 August 2026,https://www.gov.wales/local-authority-recorded-fly-tipping-april-2024-march-2025-html,"Wales incidents, enforcement, prosecution outcomes and council changes."
WAL-DATASET,Local authority reported fly-tipping,StatsWales / Natural Resources Wales,Updated 5 March 2026,4 August 2026,https://stats.gov.wales/en-GB/1d891896-2866-4fe8-a6fd-90f7caea2a24,Full Wales time series and local-authority breakdowns.
SCO-CONTEXT-2026,Litter and flytipping,Scottish Government,Current page; figures checked August 2026,4 August 2026,https://www.gov.scot/policies/managing-waste/litter-and-flytipping/,"Scotland reporting route, annual tonnage and public cleanup spending."
SCO-BASELINE,National litter and flytipping strategy: baseline report,Scottish Government,31 October 2024,4 August 2026,https://www.gov.scot/publications/provision-national-flytipping-baseline-report/pages/5/,Scottish data coverage and comparability limitations.
SCO-ENFORCEMENT,Litter and flytipping offences – enforcement review,Scottish Government,25 June 2024,4 August 2026,https://www.gov.scot/publications/review-enforcement-litter-flytipping-offences-final-report/pages/4/,"Historic Scottish incident, fixed-penalty and prosecution-referral context."
NI-ROUTE-2026,Fly-tipping and report waste crime,nidirect / Northern Ireland Executive,Current guidance,4 August 2026,https://www.nidirect.gov.uk/articles/fly-tipping,Northern Ireland local-council reporting route.
NI-WASTE-CRIME,Report waste crime,nidirect / Northern Ireland Executive,Current guidance,4 August 2026,https://www.nidirect.gov.uk/articles/report-waste-crime,Northern Ireland serious and persistent waste-crime route.
EIR-TIME,Time limits for compliance under the Environmental Information Regulations,Information Commissioner's Office,Current guidance,4 August 2026,https://ico.org.uk/for-organisations/foi/freedom-of-information-and-environmental-information-regulations/time-limits-for-compliance-under-the-eir/,Normal 20-working-day EIR response period and extension context.
OMB-WALES-CASE,Environment and Environmental Health: Caerphilly County Borough Council,Public Services Ombudsman for Wales,4 August 2021,4 August 2026,https://www.ombudsman.wales/findings/environment-and-environmental-health-caerphilly-county-borough-council/,Published accountability case study on delayed complaint handling.
HASTINGS-REPORT,Fly-tipping,Hastings Borough Council,Current service page,4 August 2026,https://www.hastings.gov.uk/streetcleaning/flytipping/,Pilot authority reporting and evidence guidance.
HASTINGS-COMPLAINT,I want to make a complaint about the Council,Hastings Borough Council,Current service page,4 August 2026,https://www.hastings.gov.uk/my-council/complaints/make/,Pilot authority complaint route and stated 10-working-day response aim.
ICO-INFORMED,Right to be informed,Information Commissioner's Office,Current guidance,5 August 2026,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/individual-rights/right-to-be-informed/,Privacy information that must accompany any future collection of personal data.
W3C-EASY-CHECKS,Easy Checks – A First Review of Web Accessibility,World Wide Web Consortium,Current guidance,5 August 2026,https://www.w3.org/WAI/test-evaluate/preliminary/,"Accessibility review approach covering keyboard access, zoom, contrast, headings and form labels."
GITHUB-PRIVACY,GitHub General Privacy Statement,GitHub,Current statement,5 August 2026,https://docs.github.com/en/site-policy/privacy-policies/github-general-privacy-statement,Hosting-provider privacy information for the GitHub Pages service.
